更新时间: 2025-12-21 11:56:23（北京时间）

更新时间,#genre#
2025-12-21 11:56:23,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV5,http://122.231.77.212:4022/rtp/233.50.200.108:5140$浙江电信
CCTV5,http://122.231.77.212:4022/rtp/233.50.201.194:5140$浙江电信
CCTV5,http://106.59.3.109:55555/rtp/239.200.200.10:9008$云南电信
CCTV5,http://121.56.186.21:4022/rtp/239.29.1.134:5000$内蒙古电信
CCTV5,http://180.112.226.61:8333/rtp/239.49.8.75:8000$江苏电信
CCTV5,http://115.224.66.130:8000/rtp/233.50.200.108:5140$浙江电信
CCTV5,http://115.224.66.130:8000/rtp/233.50.201.194:5140$浙江电信
CCTV5,http://61.159.134.134:18000/rtp/238.255.2.134:5999$贵州电信
CCTV5,http://106.59.2.119:55555/rtp/239.200.200.10:9008$云南电信
CCTV5,http://180.120.57.144:55555/rtp/239.49.8.75:8000$江苏电信
CCTV5+,http://183.30.202.100:8000/rtp/239.77.0.87:5146$广东电信
CCTV5+,http://183.30.202.100:8000/rtp/239.77.1.31:5146$广东电信
CCTV5+,http://223.244.185.227:7000/rtp/238.1.78.237:7768$安徽电信
CCTV5+,http://183.30.202.129:8000/rtp/239.77.0.87:5146$广东电信
CCTV5+,http://183.30.202.129:8000/rtp/239.77.1.31:5146$广东电信
CCTV5+,http://116.28.124.205:5000/rtp/239.77.0.87:5146$广东电信
CCTV5+,http://116.28.124.205:5000/rtp/239.77.1.31:5146$广东电信
CCTV5+,http://113.25.107.189:10000/rtp/239.1.1.12:8012$山西电信
CCTV5+,http://122.231.77.212:4022/rtp/233.50.201.220:5140$浙江电信
CCTV5+,http://106.59.3.109:55555/rtp/239.200.200.9:8004$云南电信
CCTV5+,http://121.56.186.21:4022/rtp/239.29.1.10:5001$内蒙古电信
CCTV5+,http://180.112.226.61:8333/rtp/239.49.8.18:9610$江苏电信
CCTV5+,http://115.224.66.130:8000/rtp/233.50.201.220:5140$浙江电信
CCTV5+,http://61.159.134.134:18000/rtp/238.255.2.185:5999$贵州电信
CCTV5+,http://106.59.2.119:55555/rtp/239.200.200.9:8004$云南电信
CCTV5+,http://180.120.57.144:55555/rtp/239.49.8.18:9610$江苏电信
CCTV6,http://183.30.202.100:8000/rtp/239.77.0.171:5146$广东电信
CCTV6,http://183.30.202.100:8000/rtp/239.77.1.9:5146$广东电信
CCTV6,http://223.244.185.227:7000/rtp/238.1.78.172:7248$安徽电信
CCTV6,http://183.30.202.129:8000/rtp/239.77.0.171:5146$广东电信
CCTV6,http://183.30.202.129:8000/rtp/239.77.1.9:5146$广东电信
CCTV6,http://116.28.124.205:5000/rtp/239.77.0.171:5146$广东电信
CCTV6,http://116.28.124.205:5000/rtp/239.77.1.9:5146$广东电信
CCTV6,http://113.25.107.189:10000/rtp/239.1.1.13:8013$山西电信
CCTV6,http://122.231.77.212:4022/rtp/233.50.200.109:5140$浙江电信
CCTV6,http://106.59.3.109:55555/rtp/239.200.200.21:9020$云南电信
CCTV6,http://121.56.186.21:4022/rtp/239.29.1.135:5000$内蒙古电信
CCTV6,http://180.112.226.61:8333/rtp/239.49.8.76:8000$江苏电信
CCTV6,http://115.224.66.130:8000/rtp/233.50.200.109:5140$浙江电信
CCTV6,http://61.159.134.134:18000/rtp/238.255.2.135:5999$贵州电信
